Gene,basal_avg,basal_down,basal_up,her2_avg,her2_down,her2_up,lumA_avg,lumA_down,lumA_up,lumB_avg,lumB_down,lumB_up
ABHD18,0.110974456,-0.442084457,0.664033369,-0.198504806,-0.700586423,0.303576812,-0.052860297,-0.199898585,0.09417799,0.075372965,-0.243140278,0.393886209
ABHD3,-0.269870668,-0.573109949,0.033368613,-0.19997085,-0.703878894,0.303937195,0.186396255,-0.030169194,0.402961705,0.044898014,-0.205596925,0.295392954
ABHD4,-0.426801884,-0.650315699,-0.20328807,0.398476832,-0.020590424,0.817544088,-0.13585156,-0.281582368,0.009879247,0.233270664,0.034765884,0.431775444
ABHD5,0.068265294,-0.193077266,0.329607855,-0.082931733,-0.384009757,0.218146291,0.115623218,-0.135338681,0.366585116,-0.120538688,-0.264519699,0.023442324
ABHD6,0.185313361,-0.156859354,0.527486076,0.594133629,0.328797871,0.859469386,-0.346739417,-0.578345064,-0.11513377,-0.09164144,-0.341585826,0.158302946
ABI1,0.642496663,0.391148667,0.893844659,-0.455610491,-0.696309573,-0.214911409,-0.051259436,-0.238627325,0.136108454,-0.204943626,-0.401225893,-0.00866136
ABI2,0.058193206,-0.188518015,0.304904427,-0.68953095,-0.926336995,-0.452724904,0.405095725,0.220881756,0.589309695,-0.087096166,-0.295952985,0.121760653
ABI3,0.31567826,0.063039855,0.568316665,-0.038294162,-0.28357123,0.206982907,-0.076866044,-0.33512799,0.181395902,-0.143948322,-0.299367369,0.011470725
ABI3BP,-0.131623198,-0.410744685,0.14749829,0.059235293,-0.234352303,0.35282289,0.320487088,0.090273139,0.550701037,-0.238033707,-0.378484277,-0.097583138
ABITRAM,0.247628012,0.025039096,0.470216927,-0.080866845,-0.439172965,0.277439275,-0.152736031,-0.338885979,0.033413918,-0.009025054,-0.240094491,0.222044383
ABL1,-0.217955763,-0.395354132,-0.040557394,-0.39538557,-0.86707441,0.07630327,0.194025508,0.022040673,0.366010343,0.175218495,-0.008841978,0.359278968
ABL2,0.160235132,-0.033449644,0.353919907,-0.709770504,-1.199094041,-0.220446966,0.134891104,-0.028272562,0.29805477,0.123956024,-0.034420251,0.282332298
ABLIM1,0.540701094,0.301455381,0.779946808,0.334580724,0.01096794,0.658193508,-0.107871874,-0.313770726,0.098026977,-0.46943897,-0.617171802,-0.321706138
ABLIM2,0.393079068,0.057706332,0.728451804,-0.336304789,-0.642115203,-0.030494375,0.155242652,-0.033727429,0.344212733,-0.290833173,-0.425350942,-0.156315405
ABLIM3,0.12329359,-0.108915867,0.355503048,-0.589751239,-0.926452893,-0.253049584,0.272993899,0.101836926,0.444150873,-0.059213727,-0.26974644,0.151318985
ABR,-0.368862796,-0.643229905,-0.094495687,-0.527908105,-0.766211425,-0.289604785,0.471295928,0.318359492,0.624232365,0.088942551,-0.117572774,0.295457876
ABRACL,0.485879128,0.269473311,0.702284945,0.569969677,0.272367724,0.86757163,-0.459661382,-0.621782441,-0.297540322,-0.208885361,-0.415763402,-0.002007319
ABRAXAS1,-0.078525917,-0.36678804,0.209736206,-0.787197399,-1.055583339,-0.518811459,0.373327596,0.190697895,0.555957297,0.043204673,-0.145901888,0.232311234
ABRAXAS2,-0.066052424,-0.270822743,0.138717895,-0.828618421,-1.233290224,-0.423946619,0.573170007,0.425807857,0.720532157,-0.085439394,-0.253094527,0.082215739
ABT1,0.366434509,0.171300659,0.56156836,0.185125033,-0.005150005,0.375400071,-0.482990666,-0.676245661,-0.289735671,0.095477657,-0.149985225,0.340940538
ABTB2,0.651058609,0.365547094,0.936570125,-0.780233034,-1.216253015,-0.344213052,-0.159777054,-0.378530265,0.058976157,0.029161938,-0.167121421,0.225445298
ACAA1,-0.478993035,-0.648716755,-0.309269314,0.649424028,0.208324327,1.090523728,-0.04493666,-0.241050637,0.151177317,0.077597062,-0.079708822,0.234902945
ACAA2,0.479036047,0.244643335,0.713428759,0.073735758,-0.285507453,0.43297897,0.014011945,-0.196619775,0.224643666,-0.409573029,-0.559920761,-0.259225296
ACACA,-0.608144199,-0.743079032,-0.473209366,0.728064232,0.422822328,1.033306135,-0.124754276,-0.345102858,0.095594305,0.211632215,0.020759134,0.402505296
ACACB,-0.319644312,-0.545691708,-0.093596916,0.63512831,0.32193263,0.948323989,-0.050017598,-0.292734669,0.192699473,-0.02989739,-0.176403154,0.116608375
ACAD10,0.0619288,-0.084341522,0.208199122,-0.185581423,-0.474139985,0.102977138,-0.454145692,-0.644111429,-0.264179956,0.481567067,0.246852456,0.716281678
ACAD8,-7.93848E-05,-0.267503018,0.267344248,-0.039914114,-0.316049575,0.236221348,-0.078879144,-0.268250332,0.110492043,0.095609109,-0.123594335,0.314812553
ACAD9,0.570774836,0.339468182,0.80208149,-0.423425177,-0.664989073,-0.181861281,-0.238011937,-0.420011975,-0.056011898,0.011726234,-0.208792632,0.232245101
ACADL,-0.153100731,-0.579859652,0.273658191,0.186151589,-0.571260429,0.943563608,-0.007386646,-0.365276551,0.35050326,0.111705575,-0.072381562,0.295792711
ACADM,-0.023565731,-0.260815152,0.213683691,-0.343067821,-0.668691602,-0.01744404,0.329041613,0.149463997,0.508619229,-0.126123337,-0.339652107,0.087405432
ACADS,-0.141877516,-0.386542991,0.102787959,-0.15633734,-0.457196538,0.144521858,0.26790465,0.011212992,0.524596309,-0.07216515,-0.213087926,0.068757627
ACADSB,-0.864070163,-1.016385814,-0.711754512,-0.586775679,-0.763318644,-0.410232713,0.505747044,0.328599311,0.682894776,0.456766212,0.259654981,0.653877442
ACADVL,-0.018343646,-0.245661331,0.208974039,0.11625804,-0.233778489,0.466294569,0.091274623,-0.144381078,0.326930325,-0.1318428,-0.302824281,0.039138682
ACAN,0.649341921,0.388868677,0.909815164,-0.417851899,-0.751755194,-0.083948604,-0.096286992,-0.302857437,0.110283453,-0.190405677,-0.372243822,-0.008567533
ACAP1,0.349298644,0.091384698,0.607212589,0.196547959,-0.044113061,0.437208979,-0.379708225,-0.585098965,-0.174317484,0.003639086,-0.194531471,0.201809644
ACAP2,0.486342749,0.189948199,0.782737298,-0.138425241,-0.452495684,0.175645201,0.01279262,-0.138610452,0.164195691,-0.307804035,-0.492024972,-0.123583097
ACAP3,-0.04803343,-0.183854629,0.087787769,-0.468484861,-0.733746596,-0.203223126,0.17237526,-0.106992083,0.451742603,0.123718928,-0.08088012,0.328317975
ACAT1,-0.033901218,-0.276872487,0.20907005,-0.524095252,-0.792089487,-0.256101017,0.201201527,0.015133775,0.387269279,0.094655409,-0.128439062,0.317749881
ACAT2,0.070528608,-0.148738685,0.2897959,0.341499421,0.015674776,0.667324067,-0.481393146,-0.710750538,-0.252035753,0.237688931,0.081408583,0.39396928
ACBD3,-0.426425533,-0.617464109,-0.235386956,0.689668048,0.398893036,0.980443061,-0.194057553,-0.430025408,0.041910301,0.160956947,-0.009445797,0.331359691
ACBD5,-0.115309701,-0.344927282,0.114307881,-0.032093473,-0.269548962,0.205362017,-0.286083201,-0.441724546,-0.130441856,0.37669208,0.122643457,0.630740702
ACBD6,0.324570282,0.04091018,0.608230383,-0.297179396,-0.566546134,-0.027812657,-0.03937147,-0.21143909,0.132696149,-0.057107021,-0.268851761,0.154637719
ACBD7,0.613018379,0.205778162,1.020258596,-0.906181884,-1.184911818,-0.627451949,-0.066174234,-0.204703261,0.072354792,0.178796356,-0.020768658,0.37836137
ACCS,0.063383366,-0.22041334,0.347180071,0.121662475,-0.334761027,0.578085977,-0.454116743,-0.680908208,-0.227325277,0.410116478,0.192887336,0.627345621
ACD,0.072857145,-0.192365225,0.338079515,7.97808E-05,-0.387385737,0.387545298,0.004980617,-0.21762731,0.227588544,-0.06422691,-0.341763809,0.213309989
ACE,0.300404495,0.061874194,0.538934795,0.319591988,-0.026823499,0.666007475,0.035134727,-0.184975599,0.255245053,-0.418770145,-0.567111687,-0.270428603
ACIN1,-0.262276007,-0.413208524,-0.11134349,-0.361635249,-0.826137012,0.102866513,0.074976572,-0.15443361,0.304386754,0.305672082,0.172844908,0.438499256
ACLY,-0.50982687,-0.703689172,-0.315964569,0.844901512,0.488574559,1.201228466,-0.153643441,-0.361444851,0.054157968,0.107161028,-0.045274261,0.259596317
ACO1,0.147711335,-0.120551593,0.415974263,-0.489724387,-0.796820223,-0.182628552,0.389889058,0.181865921,0.597912194,-0.239564987,-0.389982409,-0.089147566
ACO2,0.299060203,0.039398266,0.55872214,-0.021604405,-0.320491606,0.277282796,-0.27937932,-0.487807455,-0.070951185,0.054245565,-0.131832506,0.240323636
ACOT1,-0.203421137,-0.422714935,0.015872662,-0.055201275,-0.378844651,0.2684421,0.180076047,-0.051991279,0.412143373,0.007593612,-0.181218511,0.196405734
ACOT11,0.307567024,0.104955483,0.510178565,-0.59838488,-0.857917912,-0.338851847,-0.179396818,-0.35861703,-0.000176607,0.240439123,0.002821046,0.4780572
ACOT13,0.109492197,-0.082341958,0.301326352,-0.522245743,-0.825065366,-0.219426119,-0.175885337,-0.361123672,0.009352998,0.347560505,0.117670522,0.577450488
ACOT2,-0.223301259,-0.447216485,0.000613968,-0.010026574,-0.340863763,0.320810614,0.206915296,-0.0230847,0.436915292,-0.025804594,-0.209087289,0.157478101
ACOT4,-0.402030881,-0.603083391,-0.200978372,0.359027704,-0.035957492,0.7540129,0.107042598,-0.053977789,0.268062985,0.019426819,-0.198389275,0.237242914
ACOT7,-0.225414658,-0.405141629,-0.045687688,0.030300675,-0.137182089,0.197783438,-0.529405331,-0.738374239,-0.320436422,0.661257432,0.455142278,0.867372586
ACOT8,-0.596526544,-0.751461813,-0.441591274,0.529493659,0.159836347,0.899150972,-0.344621753,-0.526663474,-0.162580033,0.512910592,0.342479898,0.683341286
ACOT9,0.35684171,0.109595532,0.604087888,0.795766489,0.574823842,1.016709135,-0.250664553,-0.438741818,-0.062587289,-0.42529433,-0.607244525,-0.243344134
ACOX1,-0.119923985,-0.293151981,0.05330401,0.777130668,0.37466952,1.179591816,-0.279678216,-0.490102502,-0.069253929,-0.030597389,-0.19381032,0.132615543
ACOX2,-0.290339584,-0.683306042,0.102626874,-0.196967821,-0.805825538,0.411889896,0.227713143,-0.137420439,0.592846725,-0.054776502,-0.279577838,0.170024835
ACOX3,-0.572888592,-0.751092721,-0.394684462,0.368421668,0.153334511,0.583508826,-0.010225455,-0.223569453,0.203118543,0.255255004,0.025880037,0.484629971
ACP1,0.007449167,-0.189648472,0.204546806,0.180598086,-0.111283505,0.472479678,0.105085204,-0.156147148,0.366317555,-0.196592572,-0.375975491,-0.017209654
ACP2,0.124945123,-0.022799318,0.272689565,-0.158017936,-0.434049298,0.118013426,0.033344356,-0.20028811,0.266976822,-0.046654883,-0.28737002,0.194060255
ACP3,0.336857506,-0.036959986,0.710674999,0.394678615,0.074208605,0.715148625,-0.399957084,-0.723978709,-0.075935459,-0.070822367,-0.383666384,0.24202165
