Gene,basal_avg,basal_down,basal_up,her2_avg,her2_down,her2_up,lumA_avg,lumA_down,lumA_up,lumB_avg,lumB_down,lumB_up,norm_avg,norm_down,norm_up
ABCC2,-0.687070992,-1.550222787,0.176080804,0,0,0,0.858838739,0.372653845,1.345023634,0,0,0,0,0,0
ABCC3,-0.663256907,-1.226439285,-0.10007453,0.446001766,-0.812331703,1.704335234,0.259662776,-1.049714469,1.56904002,-0.156834761,-0.594933768,0.281264246,0.114427127,-0.87607142,1.104925674
ABCC4,-0.005892234,-0.981408075,0.969623607,0.663635036,-0.693907218,2.02117729,-0.21530114,-0.792331945,0.361729665,-0.503350265,-1.413578669,0.40687814,0.060908603,-0.851292831,0.973110037
ABCC5,-0.063883883,-1.206895066,1.0791273,0.444767627,-0.536657634,1.426192888,-0.236708484,-1.15610401,0.682687042,0.466311657,-0.664851405,1.597474718,-0.610486916,-1.136254795,-0.084719038
ABCC6,0,0,0,-0.097570759,-0.87553294,0.680391421,0,0,0,-0.125310621,-0.918753212,0.668131971,0.22288138,-1.285543296,1.731306056
ABCC8,-1.263419326,-2.145223453,-0.381615199,-0.145794927,-0.605108901,0.313519046,0.532612093,-0.592924751,1.658148937,0.649918764,-0.050511338,1.350348865,0.226683397,-0.228518964,0.681885757
ABCC9,-0.049679036,-1.664738162,1.565380091,-0.294309079,-0.806654838,0.21803668,-0.05888212,-0.969656628,0.851892388,-0.034347573,-0.699604751,0.630909606,0.437217807,-0.640513559,1.514949174
ABCD1,1.13995673,0.300276949,1.979636512,0.057617141,-0.982279309,1.09751359,-0.658520211,-1.373144465,0.056104043,-0.343961189,-0.782774563,0.094852185,-0.195092471,-1.198019625,0.807834683
ABCD2,0.087349811,-0.493787934,0.668487556,-0.511428006,-1.193172263,0.170316251,0.54538547,-0.350685575,1.441456514,-0.23591655,-1.692759873,1.220926773,0.456423342,-0.379128537,1.29197522
ABCD3,-0.112020495,-1.335775388,1.111734399,-0.181136965,-1.163903544,0.801629614,0.018105345,-1.48266871,1.5188794,0.345378118,0.18325746,0.507498777,-0.070326004,-0.902088774,0.761436766
ABCD4,0.021894064,-1.310794948,1.354583076,-0.063500825,-1.250260554,1.123258903,-0.033287925,-0.709505467,0.642929616,0.199605238,-0.746538589,1.145749065,-0.124710551,-1.134384474,0.884963372
ABCE1,0.874298065,-0.141598542,1.890194673,0.171985284,-0.693405159,1.037375727,-0.738363263,-1.28582174,-0.190904786,0.030869717,-0.70129462,0.763034055,-0.338789803,-1.50991288,0.832333273
ABCF1,1.232950356,0.366619691,2.099281021,0.199406036,-0.595256528,0.994068599,-0.66833279,-1.255302856,-0.081362724,0.184512465,-0.516327174,0.885352105,-0.948536067,-1.263755828,-0.633316306
ABCF2,1.052846006,-0.124462362,2.230154375,0.358410344,-0.470657388,1.187478076,-0.83998632,-1.478961664,-0.201010975,0.113884158,-0.466998757,0.694767073,-0.685154189,-0.964145199,-0.406163179
ABCF3,0.338037599,-0.83053404,1.506609237,-0.028350205,-1.106893618,1.050193207,-0.206043164,-0.959962029,0.5478757,0.546286091,-0.520291628,1.612863809,-0.64993032,-1.283998369,-0.01586227
ABCG1,-0.725587209,-1.93888246,0.487708043,0.183762548,-0.549398664,0.916923761,0.30758568,-0.524436616,1.139607976,0.605188223,-0.478296413,1.688672858,-0.161948478,-0.79133585,0.467438894
ABCG2,-0.279027062,-0.675790444,0.117736319,-0.549850374,-1.585367611,0.485666864,0.861339185,-0.051543041,1.774221411,-0.622507717,-1.151305633,-0.093709801,0.590045968,-0.501885346,1.681977281
ABHD10,0.007429689,-1.07295781,1.087817188,-0.746339268,-1.147759956,-0.344918581,0.361639377,-0.754470569,1.477749323,0.452785852,-0.668960216,1.57453192,-0.075515649,-0.95965827,0.808626971
ABHD11,-0.224027597,-1.332127272,0.884072077,0.61222098,-0.549664359,1.77410632,0.269669155,-0.997130471,1.53646878,-0.333513269,-0.764057487,0.097030949,-0.324349269,-0.997818142,0.349119603
ABHD12,0.135141472,-0.657607327,0.927890272,-0.029298099,-0.907001827,0.848405628,-0.14581128,-1.496513679,1.204891119,0.487449507,-0.689739424,1.664638439,-0.4474816,-1.13886193,0.24389873
ABHD13,0.446477962,0.029760399,0.863195525,0.004007144,-0.571850022,0.57986431,0.065748911,-0.563721794,0.695219615,0.162240406,-1.634674923,1.959155736,-0.443512601,-1.01482457,0.127799368
ABHD14A,-0.679050881,-1.431219865,0.073118103,-0.272711667,-0.670025542,0.124602208,0.34533578,-0.862067896,1.552739455,0.26584921,-1.103531675,1.635230094,0.336703999,-0.926096609,1.599504608
ABHD14B,-1.204233836,-1.781291807,-0.627175866,-0.124539414,-1.025317985,0.776239158,0.769046674,-0.197763264,1.735856612,0.31839649,-0.525148736,1.161941716,0.241330086,-0.342177605,0.824837777
ABHD15,0.445658438,-1.068020511,1.959337387,-0.203944403,-1.124156226,0.71626742,-0.1409686,-1.105019745,0.823082545,-0.23849273,-1.037372631,0.56038717,0.137747296,-0.598093227,0.873587818
ABHD16A,0.608919512,-0.617538304,1.835377328,0.419788789,-0.722872367,1.562449945,-0.264272837,-1.051835836,0.523290162,-0.209956083,-0.832398686,0.41248652,-0.55447938,-1.401836997,0.292878236
ABHD17A,-0.611221916,-2.294494479,1.072050646,-0.305094814,-0.702410345,0.092220718,0.675568446,0.083385594,1.267751298,0.544632464,-0.238201151,1.327466078,-0.30388418,-0.744545269,0.136776909
ABHD17B,0.562678447,-0.812524768,1.937881663,0.190937156,-1.138308874,1.520183186,-0.340162277,-1.099565373,0.41924082,-0.491821403,-1.21816342,0.234520615,0.078368076,-0.158803869,0.31554002
ABHD17C,-1.084070183,-1.493050069,-0.675090297,0.048769544,-0.474322957,0.571862044,0.186845699,-0.773916862,1.147608259,0.929051349,-0.402215442,2.26031814,-0.080596408,-0.463189298,0.301996482
ABHD2,0.687782407,-0.390088848,1.765653661,-0.577525092,-1.035397935,-0.11965225,0.017038591,-0.818083695,0.852160877,-0.48942147,-1.47230613,0.49346319,0.362125565,-0.762740533,1.486991662
ABHD3,0.439116816,-0.904346961,1.782580593,-0.076763468,-1.004117596,0.85059066,-0.443667436,-1.201977903,0.31464303,-0.049381277,-1.178303935,1.079541382,0.130695365,-0.671586929,0.932977658
ABHD4,-0.498505495,-1.499463684,0.502452695,0.565105986,-0.257827957,1.388039929,-0.706374863,-1.94099628,0.528246554,0.200952458,-0.385134354,0.787039269,0.438821914,-0.345932543,1.223576371
ABHD5,0.700037478,-0.629522505,2.029597462,-0.35721948,-1.097133511,0.382694551,-0.183239246,-1.079766302,0.71328781,0.08062404,-1.084344013,1.245592094,-0.240202793,-0.826738915,0.346333329
ABHD6,0.040274978,-0.629572733,0.710122689,0.04446126,-1.513171984,1.602094504,-0.076019765,-0.931111166,0.779071636,0.186915321,-0.888237056,1.262067697,-0.195631794,-1.073150107,0.68188652
ABHD8,0,0,0,0.113625359,-1.289729003,1.516979721,0,0,0,-0.618599234,-1.190515322,-0.046683145,0.504973874,-0.218088574,1.228036323
ABI1,-0.266249842,-1.510783409,0.978283726,-0.196709149,-1.141443819,0.748025521,-0.017369039,-0.888722473,0.853984395,0.365495019,-0.536718889,1.267708927,0.114833011,-1.034786571,1.264452592
ABI2,-0.759093047,-1.726520765,0.20833467,-0.513303735,-1.054370731,0.027763261,0.684846657,-0.083006394,1.452699707,0.133911678,-0.973269622,1.241092979,0.453638447,-0.472044282,1.379321176
ABI3,0.047799008,-1.212615053,1.308213068,0.225934925,-0.458758967,0.910628817,-0.748938517,-1.557234943,0.059357908,0.149964498,-0.949890274,1.24981927,0.325240087,-0.607070216,1.257550389
ABI3BP,-0.531325633,-1.990743631,0.928092364,-0.242394521,-1.137152019,0.652362977,0.74686344,0.103849193,1.389877687,-0.464850576,-1.165221422,0.23552027,0.49170729,-0.02229776,1.00571234
ABL1,-0.719954786,-1.890809921,0.450900349,0.505391021,-0.83898423,1.849766272,0.132266611,-0.401296564,0.665829786,0.270255773,-0.746088651,1.286600196,-0.187958618,-0.530069307,0.15415207
ABL2,0.399266075,-0.796172493,1.594704643,0.180936271,-1.297663562,1.659536104,-0.387101911,-0.974477634,0.200273812,0.469941488,-0.181854715,1.12173769,-0.663041923,-0.997770494,-0.328313351
ABLIM1,-0.456351228,-1.471443813,0.558741356,0.122580325,-1.25481635,1.499977001,-0.144122716,-0.860222756,0.571977325,-0.281123328,-1.118038598,0.555791943,0.759016946,0.071594682,1.446439211
ABLIM2,-0.046546901,-1.54403495,1.450941148,-0.798835533,-1.460966425,-0.136704641,0.278499109,-0.491771412,1.048769631,0.216285082,-0.726419237,1.158989401,0.350598243,-0.330278805,1.031475292
ABLIM3,-1.105900774,-1.774407116,-0.437394432,-0.334118589,-0.817439589,0.14920241,0.845520118,-0.315792473,2.006832708,0.465514737,-0.330728823,1.261758298,0.128984508,-0.498383182,0.756352199
ABO,0.291153805,-1.115935375,1.698242986,0,0,0,-0.363942257,-0.56947538,-0.158409133,0,0,0,0,0,0
