Gene,basal_avg,basal_down,basal_up,her2_avg,her2_down,her2_up,lumA_avg,lumA_down,lumA_up,lumB_avg,lumB_down,lumB_up,norm_avg,norm_down,norm_up
ACAD9,0.327121464,0.11799921,0.536243718,-0.055144047,-0.348566312,0.238278218,-0.111312168,-0.224589299,0.001964963,-0.215561111,-0.51293579,0.081813568,0.258965335,0.055202972,0.462727698
ACADL,-0.355440215,-0.555414647,-0.155465783,0.158086568,-0.141721607,0.457894743,0.120448089,-0.077489528,0.318385706,-0.322276737,-0.499507616,-0.145045858,1.314796995,0.45140711,2.17818688
ACADM,-0.343186918,-0.463842253,-0.222531583,-0.39727306,-0.825517248,0.030971128,0.228533032,0.100772129,0.356293935,0.004304886,-0.194342954,0.202952726,0.482935515,0.024832184,0.941038846
ACADS,-0.566746346,-0.681021407,-0.452471285,-0.889084533,-1.025423029,-0.752746037,0.507369523,0.372311882,0.642427164,-0.043720809,-0.242508404,0.155066786,0.141203686,-0.297775179,0.580182551
ACADSB,-0.853175428,-0.940342597,-0.766008259,-0.655141358,-0.912123902,-0.398158814,0.514721974,0.412934983,0.616508965,0.361074619,0.067702527,0.654446711,-0.31267092,-0.659426163,0.034084323
ACADVL,0.068637536,-0.142352382,0.279627454,-0.539566812,-0.699041774,-0.38009185,0.21665315,0.083372047,0.349934253,-0.465293271,-0.659086995,-0.271499547,0.224840578,-0.192596572,0.642277728
ACAN,0.115859279,-0.113309084,0.345027642,-0.198997843,-0.516757922,0.118762236,0.126916224,0.004808257,0.249024191,-0.391630159,-0.548610152,-0.234650166,-0.230092267,-0.542173688,0.081989154
ACAP1,0.410913354,0.266317676,0.555509032,0.209202601,-0.157562883,0.575968085,-0.381339065,-0.482894152,-0.279783978,0.217384379,-0.10029699,0.535065748,0.639093714,0.219227912,1.058959516
ACAP2,-0.266053623,-0.470916197,-0.061191049,0.234356405,-0.046385995,0.515098805,0.006780067,-0.108283804,0.121843938,0.083522289,-0.213525149,0.380569727,0.525644526,0.138936763,0.912352289
ACAP3,-0.374500784,-0.545904196,-0.203097372,0.674813588,0.466881431,0.882745745,0.118370231,-0.027101882,0.263842344,-0.451298045,-0.723380728,-0.179215362,0.004271726,-0.45355236,0.462095812
ACAT1,-0.324043632,-0.466634079,-0.181453185,-0.405028439,-0.62181461,-0.188242268,0.353497119,0.201622458,0.50537178,-0.222448811,-0.379501115,-0.065396507,-0.260008506,-0.644580492,0.12456348
ACAT2,0.372609966,0.162728784,0.582491148,0.159469583,-0.181983506,0.500922672,-0.122807724,-0.227599111,-0.018016337,-0.229837374,-0.495509221,0.035834473,-0.426197513,-0.857090167,0.004695141
ACBD3,-0.311289336,-0.46769449,-0.154884182,0.227712839,-0.073268326,0.528694004,0.112999098,-0.027700793,0.253698989,0.209749921,0.001491271,0.418008571,-0.833457253,-1.163352373,-0.503562133
ACBD5,-0.152134534,-0.29560399,-0.008665078,0.607576157,0.332552228,0.882600086,-0.368221666,-0.489334428,-0.247108904,0.811127509,0.573730987,1.048524031,0.621060514,0.254413224,0.987707804
ACBD6,0.012276002,-0.14198739,0.166539394,0.136698596,-0.173495218,0.44689241,0.127969934,-0.006962342,0.26290221,-0.336251687,-0.591459406,-0.081043968,-0.769558389,-1.172701544,-0.366415234
ACBD7,0.866165311,0.660854636,1.071475986,-0.767880942,-0.953662904,-0.58209898,-0.14056596,-0.241424614,-0.039707306,-0.127317637,-0.373137103,0.118501829,-0.757923087,-1.172423581,-0.343422593
ACCS,0.020010595,-0.258164292,0.298185482,0.298496502,0.083463519,0.513529485,-0.175892109,-0.369227984,0.017443766,0.391196386,0.243319408,0.539073364,-0.338309013,-1.182923433,0.506305407
ACD,0.275346671,0.094186602,0.45650674,0.017703035,-0.26918043,0.3045865,0.003687515,-0.155284468,0.162659498,-0.482565026,-0.765061438,-0.200068614,-0.102309284,-0.841420221,0.636801653
ACE,-0.51238123,-0.637553571,-0.387208889,0.499119433,0.217981789,0.780257077,0.180351858,0.037117957,0.323585759,-0.191330806,-0.425914343,0.043252731,0.168790279,-0.020629452,0.35821001
ACE2,0.10710437,-0.071571369,0.285780109,1.126762789,0.49584432,1.757681258,-0.261938663,-0.37906094,-0.144816386,-0.279411994,-0.470161131,-0.088662857,-0.093026075,-0.66473664,0.47868449
ACIN1,-0.295782563,-0.512396015,-0.079169111,-0.576301935,-0.779793163,-0.372810707,0.075370802,-0.047440566,0.19818217,0.8419603,0.679452027,1.004468573,-0.392707884,-0.580250052,-0.205165716
ACLY,-0.403577096,-0.562873061,-0.244281131,0.238680612,0.022469474,0.45489175,0.069994461,-0.060525635,0.200514557,0.084066469,-0.131643096,0.299776034,0.588678593,-0.365278326,1.542635512
ACO1,-0.34598597,-0.546764762,-0.145207178,-0.16484772,-0.37790388,0.04820844,0.400236555,0.282459638,0.518013472,-0.643938132,-0.868037573,-0.419838691,0.094985164,-0.291702505,0.481672833
ACO2,0.014791315,-0.173596473,0.203179103,-0.198740615,-0.491726153,0.094244923,0.074556261,-0.057184074,0.206296596,-0.156793385,-0.421767138,0.108180368,0.153840237,-0.13343429,0.441114764
ACOT1,-0.636526508,-0.765197655,-0.507855361,-0.175770785,-0.489024375,0.137482805,0.329765067,0.201946639,0.457583495,0.105526337,-0.138592204,0.349644878,0.065900642,-0.366893927,0.498695211
ACOT11,0.392178575,0.204441273,0.579915877,-0.041935473,-0.227184387,0.143313441,-0.169684387,-0.297181977,-0.042186797,-0.122796285,-0.445297196,0.199704626,0.194692969,0.055902627,0.333483311
ACOT13,0.193810972,0.02657535,0.361046594,0.063158528,-0.281511391,0.407828447,-0.088954143,-0.224763791,0.046855505,-0.162853406,-0.377035682,0.05132887,0.266831303,-0.17555959,0.709222196
ACOT2,-0.304346406,-0.487795726,-0.120897086,-0.07444612,-0.286059315,0.137167075,0.168710952,0.019368881,0.318053023,-0.326989618,-0.603067718,-0.050911518,1.221869426,1.079786994,1.363951858
ACOT4,-0.582958521,-0.767845891,-0.398071151,0.621421577,0.395633855,0.847209299,0.148224207,0.027985625,0.268462789,0.075632215,-0.17408151,0.32534594,-0.305726493,-0.794465724,0.183012738
ACOT7,0.432275779,0.303056035,0.561495523,0.107912714,-0.098029144,0.313854572,-0.380709446,-0.531351219,-0.230067673,0.30490692,0.120704236,0.489109604,0.49404903,0.146705618,0.841392442
ACOT8,-0.20196116,-0.359555792,-0.044366528,0.664030196,0.46207089,0.865989502,-0.201594815,-0.342414874,-0.060774756,0.374039046,0.128257355,0.619820737,0.338538309,0.017879508,0.65919711
ACOT9,0.357214122,0.190065555,0.524362689,0.717790599,0.383621859,1.051959339,-0.123432996,-0.227280838,-0.019585154,-0.985160479,-1.143224269,-0.827096689,0.675026198,0.074560725,1.275491671
ACOX1,0.15259803,-0.000587282,0.305783342,0.752965284,0.346525074,1.159405494,-0.308345913,-0.41005656,-0.206635266,0.166046516,-0.127081681,0.459174713,-0.042786115,-0.357256402,0.271684172
ACOX3,-0.77541517,-0.903037007,-0.647793333,0.311119668,-0.007433916,0.629673252,0.153959538,0.027558921,0.280360155,0.436056149,0.212609792,0.659502506,0.388543275,0.106035348,0.671051202
