Gene,basal_avg,basal_down,basal_up,her2_avg,her2_down,her2_up,lumA_avg,lumA_down,lumA_up,lumB_avg,lumB_down,lumB_up,norm_avg,norm_down,norm_up
ZNF333,-0.272644488,-0.556942791,0.011653815,-0.170993463,-0.43963288,0.097645954,0.319923379,0.1259486,0.513898157,-0.01661314,-0.200437603,0.167211322,,,
ZNF334,0.469996564,0.195515529,0.744477599,-0.068960491,-0.28870189,0.150780909,0.120310694,-0.025399826,0.266021215,-0.433314926,-0.654300217,-0.212329635,,,
ZNF335,-0.267380186,-0.467083467,-0.067676905,0.634946655,0.381284045,0.888609265,-0.382781689,-0.574351252,-0.191212127,0.249894264,0.033954847,0.465833681,,,
ZNF337,-0.15549395,-0.485451992,0.174464092,-0.360734304,-0.620272367,-0.10119624,0.107867773,-0.046936757,0.262672303,0.193614332,0.01052742,0.376701244,,,
ZNF33A,-0.362634163,-0.655036082,-0.070232243,-0.34343428,-0.535734745,-0.151133815,0.568952952,0.387195296,0.750710608,-0.101553817,-0.275826101,0.072718466,,,
ZNF33B,0.146892677,-0.093441735,0.387227089,-0.048013215,-0.283997065,0.187970636,0.477839051,0.325887448,0.629790654,-0.544091991,-0.763274776,-0.324909206,,,
ZNF34,-0.000163483,-0.206211974,0.205885008,-0.351887823,-0.666008355,-0.03776729,-0.244485624,-0.410729004,-0.078242243,0.410365247,0.180773311,0.639957182,,,
ZNF341,-0.342432966,-0.622227396,-0.062638537,0.973210748,0.652301346,1.29412015,-0.35275679,-0.492971657,-0.212541922,0.108277941,-0.038444825,0.255000706,,,
ZNF343,-0.234266178,-0.471964579,0.003432224,-0.077643577,-0.364620947,0.209333792,0.152087481,-0.043025819,0.347200781,0.068770919,-0.151863562,0.2894054,,,
ZNF345,0.137380411,-0.155420843,0.430181664,-0.491900146,-0.783180902,-0.200619389,0.291591361,0.142512669,0.440670053,-0.136526956,-0.334682119,0.061628207,,,
ZNF346,-1.05999556,-1.284991191,-0.834999928,0.016228605,-0.223330873,0.255788082,0.348873413,0.185774004,0.511972822,0.452545347,0.308010841,0.597079852,,,
ZNF347,-0.24978766,-0.491060582,-0.008514737,0.096307896,-0.216598549,0.409214342,0.15120384,-0.076302247,0.378709927,-0.005716883,-0.182809334,0.171375568,,,
ZNF35,-0.081106508,-0.35538221,0.193169194,0.400012844,0.152676358,0.64734933,0.077677644,-0.089502936,0.244858223,-0.213617616,-0.436780347,0.009545114,,,
ZNF350,-0.76100474,-0.957124624,-0.564884857,0.958136348,0.62395203,1.292320666,-0.021042583,-0.16923046,0.127145294,0.11185119,-0.061698898,0.285401278,,,
ZNF354A,-0.073721975,-0.403929527,0.256485576,-0.124695531,-0.289118171,0.039727109,-0.22300133,-0.410547887,-0.035454774,0.331348855,0.154803037,0.507894674,,,
ZNF354B,-0.58210402,-0.870552549,-0.293655491,-0.300416323,-0.46189102,-0.138941627,0.223246119,0.033494832,0.412997405,0.37284198,0.196246459,0.549437501,,,
ZNF354C,0.012441643,-0.177932617,0.202815903,-0.073601955,-0.344562331,0.197358421,0.165759883,-0.067892186,0.399411952,-0.131383476,-0.350407284,0.087640332,,,
ZNF358,0.796866799,0.57837937,1.015354228,-0.309917048,-0.582243495,-0.037590602,0.137976635,-0.048939453,0.324892723,-0.574919184,-0.728214003,-0.421624365,,,
ZNF362,0.579710212,0.337129005,0.822291419,0.184098876,-0.116794338,0.48499209,0.142180603,-0.013137029,0.297498235,-0.663088508,-0.835258041,-0.490918975,,,
ZNF365,-0.308913996,-0.507104912,-0.110723081,0.319904603,0.14330528,0.496503925,0.686528868,0.520882231,0.852175505,-0.586190303,-0.794472776,-0.377907829,,,
ZNF366,-0.207178507,-0.435299671,0.020942657,0.146850824,-0.045653377,0.339355024,0.406637898,0.189210275,0.62406552,-0.307736183,-0.516926865,-0.098545501,,,
ZNF367,0.29870173,0.070119369,0.52728409,0.23016235,-0.001269119,0.461593818,-0.657872824,-0.831122231,-0.484623418,0.291353985,0.084933262,0.497774707,,,
ZNF37A,-0.337411615,-0.605127425,-0.069695806,-0.595881462,-0.768610247,-0.423152677,0.441511945,0.222945447,0.660078444,0.127883828,-0.035702645,0.291470302,,,
ZNF37B,0.19558449,0.000657012,0.390511968,-0.690187179,-0.918530891,-0.461843467,0.302190009,0.088593801,0.515786218,-0.091193537,-0.306967416,0.124580342,,,
ZNF382,0.307690342,0.115502153,0.49987853,-0.488120773,-0.796598969,-0.179642576,0.09016447,-0.12159887,0.301927809,-0.073114987,-0.284078396,0.137848422,,,
ZNF383,0.062226965,-0.227846578,0.352300507,-0.302990702,-0.652841741,0.046860337,0.114380788,-0.043930962,0.272692539,-0.004789795,-0.194858563,0.185278974,,,
ZNF384,0.400002045,0.04537025,0.75463384,0.030180996,-0.140519507,0.200881499,-0.206604367,-0.390254053,-0.022954681,-0.11709618,-0.266988863,0.032796503,,,
ZNF385A,-1.059317914,-1.173325048,-0.94531078,0.258836992,0.00585921,0.511814774,0.575324316,0.420655187,0.729993445,0.11371747,-0.088373783,0.315808723,,,
ZNF385B,-0.700049827,-0.880950798,-0.519148857,-0.011812191,-0.190885882,0.167261501,0.200918279,0.03167297,0.370163588,0.338396782,0.087457749,0.589335814,,,
ZNF385D,0.109272793,-0.028264187,0.246809773,-0.249067962,-0.51520729,0.017071367,0.449136398,0.259830628,0.638442167,-0.387842995,-0.634264919,-0.141421071,,,
ZNF389,0.078421191,-0.21633866,0.373181042,0.166778479,-0.187792221,0.521349179,-0.03222756,-0.197778358,0.133323239,-0.111320388,-0.292823983,0.070183207,,,
ZNF391,0.583437537,0.437906613,0.728968461,-0.430729716,-0.761371273,-0.10008816,0.139801855,-0.014802781,0.294406492,-0.356190073,-0.593726215,-0.118653931,,,
ZNF394,0.453695706,0.241410466,0.665980945,-0.574459901,-0.911556365,-0.237363436,0.179926567,0.031728551,0.328124584,-0.225471456,-0.444442427,-0.006500485,,,
ZNF395,-0.201793757,-0.381799775,-0.02178774,-0.466801069,-0.738904637,-0.194697501,0.696365426,0.535505164,0.857225688,-0.282604347,-0.502948671,-0.062260022,,,
ZNF396,-0.786763476,-1.02654628,-0.546980671,-0.616484615,-0.797410236,-0.435558995,0.622872283,0.476200174,0.769544391,0.301395644,0.129061254,0.473730033,,,
ZNF397,-0.371402947,-0.663523502,-0.079282392,-0.292384264,-0.491795751,-0.092972777,0.207755343,0.01505847,0.400452216,0.225645473,0.034698359,0.416592586,,,
ZNF397OS,0.001609938,-0.282144863,0.285364738,-0.558154441,-0.807302439,-0.309006444,0.415115511,0.251574589,0.578656433,-0.119949264,-0.317706333,0.077807804,,,
ZNF398,-0.181145886,-0.475687283,0.11339551,-0.217341115,-0.480000021,0.045317791,0.254527528,0.052840282,0.456214775,0.000607758,-0.175480785,0.1766963,,,
ZNF404,0.117874657,-0.099529993,0.335279308,-0.005565043,-0.311118326,0.299988241,-0.032066103,-0.220886786,0.156754579,-0.054893456,-0.291207625,0.181420714,,,
ZNF407,-0.30158577,-0.588960765,-0.014210775,-0.32705258,-0.525425501,-0.128679659,0.277920117,0.060114103,0.495726131,0.123375505,-0.049346793,0.296097804,,,
ZNF408,0.305753806,0.106157795,0.505349817,-0.062321817,-0.296465437,0.171821803,0.040315611,-0.171511659,0.25214288,-0.236790239,-0.472834449,-0.00074603,,,
ZNF41,-0.684027893,-0.879210244,-0.488845542,0.281325667,0.021024032,0.541627303,0.336511626,0.158630547,0.514392705,0.049867778,-0.172731912,0.272467467,,,
ZNF410,-0.580791379,-0.750182436,-0.411400321,0.465137797,0.211621747,0.718653847,0.182323986,0.029066654,0.335581319,0.028297482,-0.231996248,0.288591212,,,
ZNF414,0.038183693,-0.192924284,0.26929167,-0.165871689,-0.472719166,0.140975787,0.040571936,-0.189967888,0.271111759,0.015416637,-0.174618593,0.205451866,,,
ZNF415,-0.011377077,-0.202317455,0.179563302,-0.288490696,-0.579773994,0.002792603,0.405619631,0.259980129,0.551259132,-0.235940657,-0.494105187,0.022223872,,,
ZNF416,-0.099019009,-0.323808403,0.125770385,0.38637758,0.006441376,0.766313783,0.022616762,-0.186298416,0.23153194,-0.140598929,-0.315803529,0.03460567,,,
ZNF417,-0.675277832,-0.858185831,-0.492369833,0.435512818,0.106505759,0.764519876,0.173409237,-0.063972631,0.410791105,0.122518113,-0.021348785,0.266385012,,,
ZNF418,-0.390875425,-0.696313457,-0.085437394,0.332237725,0.026293917,0.638181533,0.205869666,0.066647216,0.345092116,-0.070254057,-0.261177805,0.120669692,,,
ZNF419,0.100372219,-0.194118727,0.394863165,0.166507868,-0.085584547,0.418600282,-0.163486484,-0.347506832,0.020533865,-0.001858551,-0.205136529,0.201419427,,,
ZNF420,-0.456590706,-0.75183058,-0.161350831,-0.194897355,-0.450509732,0.060715022,0.235459316,0.021510567,0.449408064,0.214243196,0.073363113,0.355123278,,,
ZNF423,-0.421714177,-0.619942846,-0.223485508,0.364524846,0.177547896,0.551501795,0.594194926,0.408448254,0.779941599,-0.435413595,-0.645817149,-0.22501004,,,
ZNF425,-0.316330325,-0.506235967,-0.126424682,-0.332634696,-0.590822727,-0.074446665,0.542724243,0.412936796,0.67251169,-0.116545641,-0.376883013,0.14379173,,,
ZNF426,-0.098136711,-0.318632936,0.122359515,0.162999209,-0.0738008,0.399799219,0.267907296,0.091227993,0.444586599,-0.264641564,-0.513195346,-0.016087781,,,
ZNF428,0.27599236,0.011845477,0.540139243,-0.317281295,-0.703315658,0.068753067,0.056167562,-0.125484568,0.237819691,-0.102180869,-0.269097359,0.06473562,,,
ZNF429,-0.841461446,-1.090629524,-0.592293367,0.014437311,-0.150382887,0.179257509,0.473405545,0.306385512,0.640425577,0.170197115,-0.02346909,0.36386332,,,
ZNF43,-0.71754836,-0.883909765,-0.551186955,-0.089374594,-0.26510045,0.086351263,0.46595859,0.340366546,0.591550633,0.136304919,-0.135132715,0.407742552,,,
ZNF430,-0.590995942,-0.884032618,-0.297959265,0.101742511,-0.09909869,0.302583713,0.219816454,0.042770408,0.3968625,0.181718265,-0.009688365,0.373124896,,,
ZNF431,-0.500510778,-0.74465134,-0.256370216,0.128682249,-0.125105689,0.382470188,0.137084042,-0.051641837,0.325809921,0.179669752,-0.0345096,0.393849103,,,
ZNF432,-0.635621591,-0.847141306,-0.424101875,0.841419509,0.581811383,1.101027634,-0.098442121,-0.287726947,0.090842705,0.150346805,-0.033956697,0.334650307,,,
ZNF433,-0.148313613,-0.495212895,0.198585668,-0.16697393,-0.44725294,0.11330508,0.303944495,0.172314787,0.435574204,-0.096557966,-0.271845443,0.07872951,,,
ZNF434,-0.961129969,-1.189660786,-0.732599152,0.124578158,-0.138019729,0.387176044,0.219040914,0.052977447,0.38510438,0.448644189,0.288176423,0.609111955,,,
ZNF436,-0.45174799,-0.711554321,-0.191941659,0.595998732,0.292295673,0.899701791,0.351012297,0.201514731,0.500509864,-0.295575158,-0.481076508,-0.110073808,,,
ZNF438,0.461773239,0.291091777,0.632454701,-0.208016417,-0.432924895,0.01689206,0.158661117,-0.102376017,0.419698251,-0.394371957,-0.571201415,-0.2175425,,,
ZNF439,0.499543829,0.359665933,0.639421725,-0.85210357,-1.091710608,-0.612496531,0.458776744,0.338173271,0.579380218,-0.388267133,-0.634289561,-0.142244706,,,
ZNF44,-0.579582823,-0.755226722,-0.403938923,-0.231190782,-0.508914932,0.046533369,0.434088558,0.298182859,0.569994256,0.134280974,-0.119594121,0.388156068,,,
ZNF440,-0.550654045,-0.78260818,-0.318699909,-0.016233703,-0.3893688,0.356901395,0.218254302,0.081177505,0.355331098,0.211947012,0.003365586,0.420528438,,,
ZNF441,-0.672807771,-0.942544832,-0.403070709,-0.548767056,-0.803830145,-0.293703968,0.499820809,0.350693694,0.648947924,0.299994414,0.139447399,0.460541429,,,
ZNF442,-0.668601468,-0.855242847,-0.481960089,-0.336060568,-0.572997887,-0.099123249,0.445140332,0.3197231,0.570557565,0.242888566,-0.007458715,0.493235848,,,
ZNF443,-0.414291364,-0.609929952,-0.218652776,0.384402255,-0.003194934,0.771999443,0.137176376,-0.033780348,0.3081331,-0.012943298,-0.223056778,0.197170183,,,
ZNF444,-0.09102577,-0.345639934,0.163588395,-0.081677972,-0.548877852,0.385521909,0.050801632,-0.104408569,0.206011833,0.060423415,-0.103232159,0.22407899,,,
ZNF445,-0.647305933,-0.921371256,-0.373240611,-0.103940831,-0.376413599,0.168531937,0.496454833,0.334410275,0.65849939,0.061680651,-0.11119654,0.234557842,,,
ZNF446,-1.037131301,-1.233644271,-0.84061833,0.359326082,-0.034313124,0.752965288,0.396989531,0.270526648,0.523452414,0.217737134,0.083387563,0.352086705,,,
ZNF449,-0.17458158,-0.453006778,0.103843618,0.191907977,0.006607957,0.377207998,0.031616809,-0.128158646,0.191392264,0.004682754,-0.242822876,0.252188384,,,
